Filename-->;fres200_1.4s_15deg.RAW8;fres200_1.4s_15deg_dark.RAW8;fres200_5ms_0deg.RAW8;fres200_5ms_0deg_dark.RAW8;IL200_4.5ms_15deg.RAW8;IL200_4.5ms_15deg_dark.RAW8;IL200_5.1ms_0deg.RAW8;IL200_5.1ms_0deg_dark.RAW8;water200_1.6s_15deg.RAW8;water200_1.6s_15deg_dark.RAW8;water200_73ms_0deg.RAW8;water200_73ms_0deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;1357,346436;1357,346436;5,054951668;5,054951668;4,513449192;4,513449192;5,143992424;5,143992424;1565,496338;1565,496338;73,29917145;73,29917145
NrOfAverages-->;1;1;99;99;100;100;97;97;1;1;7;7
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];fresnel 200 mu 1.4 s 15 deg;fresnel 200 mu 1.4 s 15 deg dark;fresnel 200 mu 5 ms 0 deg ;fresnel 200 mu 5 ms 0 deg dark;200 mu 4.5 ms 15 deg IL;200 mu 4.5 ms 15 deg IL dark;200 mu 5.1 ms 0 deg IL;200 mu 5.1 ms 0 deg IL dark;200 mu 1.6 s 15 deg water ;200 mu 1.6 s 15 deg water dark;200 mu 73 ms 0 deg water ;200 mu 73 ms 0 deg water dark
177,975;3847,601074;3853,895752;38,26309586;23,09605217;57,43834305;21,29728127;56,17923355;22,59596825;4629,231934;4497,234375;179,2114258;125,7501144
178,538;4022,964111;4091,283203;37,47365189;22,60567093;58,97674561;21,011343;58,4149704;21,16704178;4833,858887;4716,33252;204,6692657;161,1162415
179,102;4177,030762;4128,322754;53,71006393;30,37890434;80,0693512;30,5062809;81,19386292;30,04826736;4861,462891;4811,020508;230,5841522;199,4688873
179,666;4080,486328;3989,937012;54,92454147;31,3496933;82,67424011;32,51725388;83,36326599;32,52346802;4824,220703;4723,56543;227,8972015;207,8825226
180,229;3924,796143;3887,135498;53,0603714;30,37943459;80,59426117;31,02675247;80,10993958;30,66729546;4625,375;4619,799805;218,7343445;199,1759186
180,793;3818,060791;3767,327393;54,11663818;29,18697166;80,2153244;29,90626907;79,35381317;30,52248383;4532,489258;4461,025879;219,2076569;192,4690552
181,356;4013,300537;3918,212158;53,19133377;29,99537849;80,0043869;29,93655968;80,86907959;30,5021553;4697,819336;4612,889648;223,606781;199,4645996
181,920;4169,989258;4215,861816;53,45330048;31,67313957;80,10561371;31,70744133;80,91474152;31,14221191;5084,782715;4867,476563;225,7520752;213,1653137
182,484;4140,612793;4137,804688;51,65889359;29,05714035;77,13088989;31,08758545;77,7967453;30,35885048;4931,451172;4841,40918;233,9581299;211,1631012
183,047;4343,453613;4378,538574;47,60037994;28,560112;71,36178589;29,64573669;71,66149902;29,33638382;5116,716309;5029,274902;232,3309174;205,9058075
183,611;3934,47998;3935,087646;46,26094818;27,11694336;70,60150146;28,06687355;70,9098053;29,2344265;4692,096191;4679,743164;215,9017334;192,0312042
184,174;3635,652832;3621,932861;36,8366127;21,01070404;57,57795715;21,06222534;57,04824448;21,31225395;4333,822266;4314,919434;187,2431183;145,8169556
184,737;3773,388184;3712,741211;39,15408707;20,21326828;59,35690308;19,98270798;58,90747833;20,61170578;4382,708008;4405,693359;192,9126587;154,2380981
185,301;3812,129883;3811,489258;42,50486755;24,87338066;65,57753754;25,01586151;65,24354553;24,76949692;4525,431152;4525,216797;207,3424225;174,6181946
185,864;3899,83374;3886,141357;48,30849838;27,39962006;71,79173279;26,93673706;72,39494324;27,68790054;4607,407715;4557,806152;213,9423218;188,6047211
186,428;4015,712158;4001,971191;47,06986618;27,79404068;69,98907471;28,20716667;68,56807709;29,4821434;4834,419434;4717,605957;219,5735474;196,4552765
186,991;3701,457275;3685,084229;41,80702972;25,39978218;64,10701752;25,34688187;63,45220947;25,68804359;4377,076172;4354,739258;198,7198181;178,1739349
187,554;3694,797363;3688,287354;41,69288635;23,66183281;63,30302811;24,33637047;64,15266418;23,69784164;4379,256836;4327,978516;201,6090546;176,6103668
188,118;3959,26416;3943,358154;41,29289627;23,7020359;62,91567993;23,7361908;62,93608475;24,50178719;4718,668457;4608,062012;209,4163971;189,898819
188,681;4056,868896;4074,843506;45,37241745;27,91561508;69,35169983;27,24748802;69,24398804;27,82267189;4858,676758;4791,455078;222,4008636;200,0217438
189,244;4022,237793;3938,899414;45,82022095;26,78414345;69,68492126;26,55734634;67,57714081;27,08026123;4693,001465;4663,520996;212,8960571;196,1667786
189,807;3837,728271;3751,944336;34,70660782;20,54602623;52,7529068;19,20219612;51,09246826;19,96170998;4477,888672;4465,933105;191,3733368;149,2459717
190,370;3662,235352;3614,505371;39,73093796;23,30768013;60,948452;23,36581993;60,51987839;23,92409706;4241,523926;4307,23584;194,3818665;168,6188049
190,934;3877,558838;3868,554443;33,72544098;20,9034996;55,77271652;21,52569771;52,85536957;21,78995323;4584,809082;4581,293457;197,9417877;177,3349915
191,497;3701,034424;3676,778076;39,86009979;23,40791702;60,62561417;23,73513412;58,43540573;23,37701797;4334,109375;4321,557617;197,35112;168,6293793
192,060;3797,207764;3777,894775;42,85809326;25,96597481;63,50894928;26,54735756;63,56152344;26,18336678;4443,975098;4444,515625;199,8439789;185,8808746
192,623;4399,047363;4325,567383;43,57720566;27,94670105;64,85005188;27,64818382;64,01519012;27,59656334;5128,071289;5127,129395;229,9639587;213,8681946
193,186;4201,462402;4111,781738;40,7572937;25,16831589;62,46100235;24,91764259;60,41965103;25,4104557;4909,318359;4852,382324;218,9834137;198,447937
193,749;4290,123535;4296,730469;38,25142288;26,05735016;58,23375702;24,55777168;57,32892609;25,14254379;5055,02002;5057,321777;223,8260345;207,1602325
194,312;4201,202637;4152,197266;34,74620438;21,41966438;56,58496094;20,2165966;52,44974518;20,98672867;4946,73291;4868,872559;213,0089264;189,1783142
