Filename-->;fres200_410ms_15deg.RAW8;fres200_410ms_15deg_dark.RAW8;fres400_85_15deg.RAW8;fres400_85_15deg_dark.RAW8;IL200_4.7ms_15deg.RAW8;IL200_4.7ms_15deg_dark.RAW8;IL400_6.1ms_15deg.RAW8;IL400_6.1ms_15deg_dark.RAW8;water200_1.5s_15deg.RAW8;water200_1.5s_15deg_dark.RAW8;water400_259ms_15deg.RAW8;water400_259ms_15deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;410,5248718;410,5248718;85,19192505;85,19192505;4,720886707;4,720886707;6,129270077;6,129270077;1491,4823;1491,4823;259,3998413;259,3998413
NrOfAverages-->;1;1;6;6;100;100;82;82;1;1;2;2
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];200 mu 410 ms 15 deg air;200 mu 410 ms 15 deg air dark;400 mu 85 ms 15 deg air;400 mu 85 ms 15 deg air dark;200 mu 4.7 ms 15 deg IL;200 mu 4.7 ms 15 deg IL dark;400 mu 6.1 ms 15 deg IL;400 mu 6.1 ms 15 deg IL dark;200 mu 1.5 s 15 deg water;200 mu 1.5 s 15 deg water dark;400 mu 259 ms 15 deg water;400 mu 259 ms 15 deg water dark
196,001;883,8197021;824,4430542;203,6316681;162,8643646;50,80862045;20,21134567;55,57834625;21,63336945;3272,564697;3155,033936;631,6853027;617,1486816
196,564;815,2949829;730,2851563;198,9069061;162,1708221;51,86233902;21,92425156;57,29303741;23,28189087;2960,800293;2877,40625;577,7453613;555,0326538
197,127;828,0796509;751,5114136;189,2225952;147,8760071;41,02789688;17,93008614;48,02560806;19,7177906;3070,628662;3056,305908;592,9085083;583,1989136
197,690;829,5517578;768,437439;190,6424561;156,6967468;43,22922516;18,30144882;48,52454376;19,36515427;3096,39502;3141,011475;609,4203491;609,6445313
198,252;858,9313965;808,2985229;200,3396149;170,006424;48,79589844;20,38400459;54,89337921;23,22073174;3115,203125;3147,459229;617,8745728;618,0424805
198,815;898,0206909;881,300354;211,7804718;178,6734161;46,77903748;20,21397018;55,60643387;22,75728989;3388,259766;3357,466797;665,9628906;635,5438843
199,378;792,7368164;788,2734375;195,2349396;170,5021515;49,97027588;20,37446594;54,96754074;21,90400314;3008,446777;2976,359619;600,1934814;574,0240479
199,941;809,9712524;807,2783203;197,3504944;165,6696625;50,56474686;20,38437653;56,77985764;23,11125374;3070,595215;3039,37915;616,925293;601,52771
200,504;861,5390015;865,3322144;200,7748718;172,8455048;43,96225739;18,90338516;50,3991127;20,86660576;3312,221191;3315,593506;653,4641113;632,5672607
201,066;849,2199707;805,4934082;193,0211029;159,0396118;39,84150696;17,81041718;44,63652802;19,608284;3228,084473;3214,234131;632,0585327;606,1856689
201,629;941,8691406;891,3181763;212,9685059;186,5097809;41,13376617;18,57364273;48,47192001;21,41558075;3474,796875;3446,537598;678,8018188;660,0569458
202,192;896,9871826;863,2996826;205,7401276;178,1732941;44,07410431;19,05398369;51,0844574;20,36705589;3379,238525;3348,463867;668,4297485;643,543335
202,754;906,1179199;848,3863525;199,712677;173,8547058;42,19140625;18,62238884;46,99316406;20,25610352;3395,854004;3366,808594;676,5139771;645,1070557
203,317;775,0605469;731,2802124;186,4580078;152,8366394;43,02787018;18,07434082;48,57827759;20,3917141;2866,651855;2824,386719;566,5135498;556,0290527
203,879;884,7655029;852,2530518;209,8990479;184,832016;46,74747467;19,65484238;54,64751434;22,66038322;3272,831787;3310,278564;651,2330933;643,5090942
204,442;821,7160645;773,2310181;192,8024292;172,6616058;44,10318375;17,84524727;51,19898605;21,38019943;3046,167236;3050,191162;596,6954956;598,9929199
205,005;912,7415771;851,2944946;201,1111298;179,1724091;36,96799088;16,25407791;43,67538834;17,90371323;3330,083008;3334,443604;650,1868896;644,0395508
205,567;894,3491211;839,6220093;189,399292;145,8948364;25,49261856;12,4480505;31,96175003;13,24065495;3311,965332;3348,745361;648,6187134;625,2801514
